Record Id,Commissary Item,Item Type,ID,Available,Category,Inventory Unit Of Measure,Selling Unit Of Measure,Order Guides,Cost,Markup,Selling Price,Source Item,Sales Account,Taxable
575,OTF Kale and Farro Salad,Recipe,,TRUE,Grab & Go,Each,Each,OTF CATALOG,3.1228,0,3.12,OTF Kale and Farro Salad,4104 - Grab & Go Food Sales,FALSE
550,OTF Lemon Poppyseed Bread,Recipe,,TRUE,Pastry,Each,Each,OTF CATALOG,0.8719,50,1.31,OTF Lemon Poppyseed Bread,4108 - Bakeshop Pastry Sales,FALSE
509,"OTF Limoncello Cake (3"")",Recipe,,TRUE,Pastry,Each,Each,OTF CATALOG,5.705,50,8.56,"OTF Limoncello Cake (3"")",4108 - Bakeshop Pastry Sales,FALSE
512,OTF Matcha Milk Cake,Recipe,,TRUE,Pastry,Each,Each,OTF CATALOG,1.4468,50,2.17,OTF Matcha Milk Cake,4108 - Bakeshop Pastry Sales,FALSE
579,OTF Mediterranean Pasta Salad Side,Recipe,,TRUE,Grab & Go,Each,Each,OTF CATALOG,2.0964,50,3.14,OTF Mediterranean Pasta Salad Side,4104 - Grab & Go Food Sales,FALSE
547,OTF Oatmeal Cream Pie,Recipe,,TRUE,Pastry,Each,Each,OTF CATALOG,1.3223,50,1.98,OTF Oatmeal Cream Pie,4108 - Bakeshop Pastry Sales,FALSE
508,OTF OMG Smores Brownie,Recipe,,TRUE,Pastry,Each,Each,OTF CATALOG,2.4148,50,3.62,OTF OMG Smores Brownie,4108 - Bakeshop Pastry Sales,FALSE
439,OTF Overnight Oats with Muesli,Recipe,,TRUE,Grab & Go,Each,Each,"PREP CATALOG (LF) ***11AM CUTOFF FOR NEXT DAY DELIVERY***, OTF CATALOG",1.6573,50,2.49,OTF Overnight Oats with Muesli,4104 - Grab & Go Food Sales,FALSE
28,OTF Panini Caprese,Recipe,,TRUE,Grab & Go,Each,Pack (6 CT),PREP CATALOG (LF) ***11AM CUTOFF FOR NEXT DAY DELIVERY***,14.5561,50,21.83,OTF Panini Caprese,4106 - Comm Prepped Food Sales,FALSE
37,OTF Panini Cubano,Recipe,,TRUE,Grab & Go,Each,Pack (6 CT),PREP CATALOG (LF) ***11AM CUTOFF FOR NEXT DAY DELIVERY***,17.6551,50,26.48,OTF Panini Cubano,4106 - Comm Prepped Food Sales,FALSE
532,OTF Pecan Sticky Bun,Recipe,,TRUE,Pastry,Each,Each,OTF CATALOG,3.6531,50,5.48,OTF Pecan Sticky Bun,4108 - Bakeshop Pastry Sales,FALSE
564,OTF Pot Pie Pork Green Chili,Recipe,,TRUE,Pastry,Each,Each,OTF CATALOG,3.8603,50,5.79,OTF Pot Pie Pork Green Chili,4108 - Bakeshop Pastry Sales,FALSE
549,OTF Pumpkin Bread,Recipe,,TRUE,Pastry,Each,Each,OTF CATALOG,1.3203,50,1.98,OTF Pumpkin Bread,4108 - Bakeshop Pastry Sales,FALSE
534,OTF Quiche Florentine,Recipe,,TRUE,Pastry,Each,Each,OTF CATALOG,4.6728,50,7.01,OTF Quiche Florentine,4108 - Bakeshop Pastry Sales,FALSE
533,OTF Quiche Lorraine,Recipe,,TRUE,Pastry,Each,Each,OTF CATALOG,4.7962,50,7.19,OTF Quiche Lorraine,4108 - Bakeshop Pastry Sales,FALSE
523,OTF Red Velvet Cake,Recipe,,TRUE,Pastry,Each,Each,OTF CATALOG,3.0129,50,4.52,OTF Red Velvet Cake,4108 - Bakeshop Pastry Sales,FALSE
516,OTF Retail Almonds,Recipe,,TRUE,Retail,Each,Each,"RETAIL CATALOG ***MONDAY FOR TUESDAY 11AM CUTOFF***, OTF CATALOG",2.6767,50,4.02,OTF Retail Almonds,4201 - Retail Food Sales,FALSE
565,OTF Retail Chocolate Buttons,Recipe,,TRUE,Retail,Each,Each,"RETAIL CATALOG ***MONDAY FOR TUESDAY 11AM CUTOFF***, OTF CATALOG",2.93,50,4.4,OTF Retail Chocolate Buttons,4201 - Retail Food Sales,FALSE
520,OTF Retail Dried Apricots,Recipe,,TRUE,Retail,Each,Each,"RETAIL CATALOG ***MONDAY FOR TUESDAY 11AM CUTOFF***, OTF CATALOG",4.6142,50,6.92,OTF Retail Dried Apricots,4201 - Retail Food Sales,FALSE
517,OTF Retail French Burnt Peanuts,Recipe,,TRUE,Retail,Each,Each,"RETAIL CATALOG ***MONDAY FOR TUESDAY 11AM CUTOFF***, OTF CATALOG",1.9881,50,2.98,OTF Retail French Burnt Peanuts,4201 - Retail Food Sales,FALSE
519,OTF Retail Juicy Jays,Recipe,,TRUE,Retail,Each,Each,"RETAIL CATALOG ***MONDAY FOR TUESDAY 11AM CUTOFF***, OTF CATALOG",0.8948,50,1.34,OTF Retail Juicy Jays,4201 - Retail Food Sales,FALSE
571,OTF Retail Kettle Chips,Recipe,,TRUE,Retail,Each,Each,"RETAIL CATALOG ***MONDAY FOR TUESDAY 11AM CUTOFF***, OTF CATALOG",1.5898,50,2.38,OTF Kettle Chips,4104 - Grab & Go Food Sales,FALSE
570,OTF Retail Old Bay Chips,Recipe,,TRUE,Retail,Each,Each,"RETAIL CATALOG ***MONDAY FOR TUESDAY 11AM CUTOFF***, OTF CATALOG",1.8,50,2.7,OTF Old Bay Chips,4104 - Grab & Go Food Sales,FALSE
522,OTF Retail Salted Chocolate Pretzel Rods,Recipe,,TRUE,Retail,Each,Each,"PASTRY CATALOG ***2PM CUTOFF FOR NEXT DAY DELIVERY***, OTF CATALOG",0.5339,50,0.8,OTF Retail Salted Chocolate Pretzel Rods,4108 - Bakeshop Pastry Sales,FALSE
518,OTF Retail Sour Gummy Worms,Recipe,,TRUE,Retail,Each,Each,"RETAIL CATALOG ***MONDAY FOR TUESDAY 11AM CUTOFF***, OTF CATALOG",0.9758,50,1.46,OTF Retail Sour Gummy Worms,4201 - Retail Food Sales,FALSE
566,OTF Retail Trail Mix,Recipe,,TRUE,Retail,Each,Each,"RETAIL CATALOG ***MONDAY FOR TUESDAY 11AM CUTOFF***, OTF CATALOG",1.5761,50,2.36,OTF Retail Trail Mix,4201 - Retail Food Sales,FALSE
