SKU,Name,Units,Price,Description,Status,Sub-units of pack,Qty per pack,Sub-unit price,Is price by weight,Weight unit,Price per weight unit,Typical weight,Unit of typical weight,Parcel Length,Parcel Width,Parcel Height,Distance Unit,Internal product note,Barcode,Major Code,Taxable_x,Expires,Inventory,Commissary Item,Record Id,Item Type,ID,Available,Category,Inventory Unit Of Measure,Selling Unit Of Measure,Order Guides,Cost,Markup,Selling Price,Source Item,Sales Account,Taxable_y
OTF510,Juice - Antioxidants Wellness Shot (15),pack,42.75,"INGREDIENTS: Elderberry, tart cherry, camu camu, ginger, green apple BENEFITS: Vitamin C, immunity, heart health, antioxidants, anti-inflammatory",Enabled,bottles,15,2.85,FALSE,lb,,,lb,,,,in,,,,N,,,BTLD JUICE Antioxidants Wellness Shot (Bottle),305,Purchase,,TRUE,Bottled Juice,Bottle (2 Oz-fl),Case - 15/Bottle (2 Oz-fl),"PREP CATALOG ***11AM CUTOFF FOR NEXT DAY DELIVERY***, PREP CATALOG (LF) ***11AM CUTOFF FOR NEXT DAY DELIVERY***, OTF CATALOG",33.75,42.75,42.75,BTLD JUICE Antioxidants Wellness Shot (Bottle),4134 - Bottled Juice Sales,FALSE
OTF511,Juice - Inflammation Wellness Shot (15),pack,42.75,"INGREDIENTS: Lemon, ginger, turmeric, black pepper, agave BENEFITS: Anti-inflammatory, energy boost, digestive aid",Enabled,bottles,15,2.85,FALSE,lb,,,lb,,,,in,,,,N,,,BTLD JUICE Inflammation Wellness Shot (Bottle),300,Purchase,,TRUE,Bottled Juice,Bottle (2 Oz-fl),Case - 15/Bottle (2 Oz-fl),"PREP CATALOG ***11AM CUTOFF FOR NEXT DAY DELIVERY***, PREP CATALOG (LF) ***11AM CUTOFF FOR NEXT DAY DELIVERY***, OTF CATALOG",33.75,42.75,42.75,BTLD JUICE Inflammation Wellness Shot (Bottle),4134 - Bottled Juice Sales,FALSE
PASTRY5002,Loaf Bread - GF Zucchini,loaf,18,,Enabled,,,,FALSE,lb,,,lb,,,,in,,,,N,,,OTF Zucchini Bread,552,Recipe,,TRUE,Pastry,Each,Each,OTF CATALOG,1.137,50,1.71,OTF Zucchini Bread,4108 - Bakeshop Pastry Sales,FALSE
PASTRY5003,Loaf Bread - Lemon Poppyseed,loaf,16,,Enabled,,,,FALSE,lb,,,lb,,,,in,,,,N,,,OTF Lemon Poppyseed Bread,550,Recipe,,TRUE,Pastry,Each,Each,OTF CATALOG,0.8719,50,1.31,OTF Lemon Poppyseed Bread,4108 - Bakeshop Pastry Sales,FALSE
PASTRY5004,Loaf Bread - Pumpkin,loaf,16,,Enabled,,,,FALSE,lb,,,lb,,,,in,,,,N,,,OTF Pumpkin Bread,549,Recipe,,TRUE,Pastry,Each,Each,OTF CATALOG,1.3203,50,1.98,OTF Pumpkin Bread,4108 - Bakeshop Pastry Sales,FALSE
MNKY204,MNKY - Bar Tray (1),ea,29.96,,Enabled,,,,FALSE,lb,,,lb,,,,in,,,,,,,MNKY Bar Tray,307,Purchase,,TRUE,MNKY,Each,Each,MNKY ITEMS ***ADMIN USE ONLY***,30,0,30,MNKY Bar Tray,4100 - Food Sales,FALSE
MNKY410,MNKY - Berries On Cake Upcharge (1),ea,7.5,,Enabled,,,,FALSE,lb,,,lb,,,,in,,,,,,,MNKY Berries On Cake Upcharge,323,Purchase,,TRUE,MNKY,Each,Each,MNKY ITEMS ***ADMIN USE ONLY***,7.5,0,7.5,MNKY Berries On Cake Upcharge,4100 - Food Sales,FALSE
MNKY203,MNKY - Brownie Tray (1),ea,24.38,,Enabled,,,,FALSE,lb,,,lb,,,,in,,,,,,,MNKY Brownie Tray,328,Purchase,,TRUE,MNKY,Each,Each,MNKY ITEMS ***ADMIN USE ONLY***,24.5,0,24.5,MNKY Brownie Tray,4100 - Food Sales,FALSE
MNKY406,"MNKY - Cake 10"" (1)",ea,60,,Enabled,,,,FALSE,lb,,,lb,,,,in,,,,,,,"MNKY Cake 10""",327,Purchase,,TRUE,MNKY,Each,Each,MNKY ITEMS ***ADMIN USE ONLY***,60,0,60,"MNKY Cake 10""",4100 - Food Sales,FALSE
MNKY404,"MNKY - Cake 6"" (1)",ea,33.75,,Enabled,,,,FALSE,lb,,,lb,,,,in,,,,,,,"MNKY Cake 6""",326,Purchase,,TRUE,MNKY,Each,Each,MNKY ITEMS ***ADMIN USE ONLY***,33.75,0,33.75,"MNKY Cake 6""",4100 - Food Sales,FALSE
