BlueCart Name,Units,Status,R365 Commissary Item,Record Id,Category,Inventory Unit Of Measure,Selling Unit Of Measure,Order Guides
Sandwich - PEANUT BUTTER & JELLY,each,Enabled,OTF Sandwich Peanut Butter & Jelly,444,Grab & Go,Each,Each,OTF CATALOG
Sandwich - PEANUT BUTTER & NUTELLA SANDWICH,each,Enabled,OTF Sandwich Peanut Butter & Nutella,445,Grab & Go,Each,Each,
Sandwich - ROAST BEEF & PROVOLONE SANDWICH,each,Enabled,OTF Sandwich Roast Beef & Provolone,435,Grab & Go,Each,Each,OTF CATALOG
Sandwich - ROAST BEEF BAGUETTE SANDWICH,each,Enabled,OTF Sandwich Roast Beef Baguette,446,Grab & Go,Each,Each,OTF CATALOG
Sandwich - ROAST CHICKEN SANDWICH,each,Disabled,OTF Sandwich SW Chicken,442,Grab & Go,Each,Each,PREP CATALOG (LF) ***11AM CUTOFF FOR NEXT DAY DELIVERY***
Sandwich - TRADITIONAL CHICKEN SALAD SANDWICH,1,Enabled,OTF Sandwich Traditional Chicken Salad,447,Grab & Go,Each,Each,
"Sandwich - TURKEY, HAM & SWISS SANDWICH",each,Enabled,"OTF Sandwich Turkey, Ham & Swiss",453,Grab & Go,Each,Each,OTF CATALOG
Savory Croissant - Ham & Cheese (6),case,Enabled,PASTRY Croissant Ham & Cheese,45,Pastry,Each,Pack (6 CT),PASTRY CATALOG ***2PM CUTOFF FOR NEXT DAY DELIVERY***
Savory Hand Pie - Buffalo Chicken (6),case,Disabled,Z - Savory Hand Pie - Buffalo Chicken (6),330,Pastry,Each,Case - 6/CT,PASTRY CATALOG ***2PM CUTOFF FOR NEXT DAY DELIVERY***
Scone - GF Blueberry Drop Scone (3),case,Enabled,MI Blueberry Scone,511,Pastry,Each,Each,OTF CATALOG
"Side Salad - ""PESTO"" PASTA",each,Enabled,OTF Side Salad Pesto Pasta,6,Grab & Go,Each,Each,"PREP CATALOG (LF) ***11AM CUTOFF FOR NEXT DAY DELIVERY***, OTF CATALOG"
Side Salad - ASIAN SLAW,each,Enabled,OTF Side Salad Asian Slaw,9,Grab & Go,Each,Each,
Side Salad - BUFFALO CHICKEN SIDE SALAD,each,Enabled,OTF Side Salad Buffalo Chicken,458,Grab & Go,Each,Each,
Side Salad - CLASSIC POTATO SALAD,each,Enabled,OTF Side Salad Classic Potato,8,Grab & Go,Each,Each,
Side Salad - CURRY CHICKEN SALAD,each,Enabled,OTF Side Salad Curry Chicken,457,Grab & Go,Each,Each,
Side Salad - CURRY CHICKPEA SIDE SALAD,each,Enabled,OTF Side Salad Curry Chickpea,459,Grab & Go,Each,Each,
Side Salad - MEDITERRANEAN PASTA SIDE SALAD,each,Enabled,OTF Mediterranean Pasta Salad Side,579,Grab & Go,Each,Each,OTF CATALOG
Snack Box - BUFFALO CHICKEN SALAD SNACK BOX,each,Enabled,OTF Snack Box Buffalo Chicken Salad,461,Grab & Go,Each,Each,
Snack Box - FRESH SEASONAL BERRIES,each,Enabled,OTF Snack Box Fresh Seasonal Berries,19,Grab & Go,Each,Each,"PREP CATALOG (LF) ***11AM CUTOFF FOR NEXT DAY DELIVERY***, OTF CATALOG"
Snack Box - HARD BOILED EGGS,each,Enabled,OTF Snack Box Hard Boiled Eggs,433,Grab & Go,Each,Each,OTF CATALOG
Snack Box - HUMMUS & VEGGIES SNACK BOX,each,Enabled,OTF Snack Box Hummus & Veggies,38,Grab & Go,Each,Each,OTF CATALOG
Snack Box - SEEDLESS GRAPES,each,Enabled,OTF Snack Box Seedless Grapes,5,Grab & Go,Each,Each,"PREP CATALOG (LF) ***11AM CUTOFF FOR NEXT DAY DELIVERY***, OTF CATALOG"
Tart - Lemon Meringue (6),case,Enabled,Z - Lemon Meringue Tart,127,Pastry,Pack (6 CT),Pack (6 CT),PASTRY CATALOG ***2PM CUTOFF FOR NEXT DAY DELIVERY***
Tart - Pear Almond (6),case,Enabled,Z - Tart - Pear Almond (6),151,Pastry,Pack (6 CT),Pack (6 CT),PASTRY CATALOG ***2PM CUTOFF FOR NEXT DAY DELIVERY***
Twinkie - White Chocolate Dipped,pack,Disabled,Z - Twinkie - White Chocolate Dipped (6),337,Pastry,Each,Pack (6 CT),PASTRY CATALOG ***2PM CUTOFF FOR NEXT DAY DELIVERY***
Wrap - TURKEY ARTICHOKE WRAP,each,Enabled,OTF Wrap Turkey & Artichoke,27,Grab & Go,Each,Each,OTF CATALOG
Biscuit - Jalapeo Cheddar Scone (3),,,,,,,,
Bowl - ASIAN CHICKEN NOODLE BOWL,each,Enabled,,,,,,
Bowl - ROAST VEGETABLES & QUINOA BOWL,each,Enabled,,,,,,
Bowl - SOUTHWEST CHICKEN BOWL,each,Enabled,,,,,,
Breakfast - OVERNIGHT OATS WITH MUESLI,each,Enabled,,,,,,
Breakfast - THE CLASSIC BREAKFAST SANDWICH,each,Enabled,,,,,,
Breakfast - YOGURT PARFAIT,each,Enabled,,,,,,
Energy Bite - OATMEAL RAISIN (25),pack,Enabled,,,,,,
Flatbread - Margherita Flatbread (12),case,Enabled,,,,,,
Flatbread - Vegan Med Flatbread (12),case,Enabled,,,,,,
GNG - BANANA BREAD,each,Enabled,,,,,,
GNG - BRAN MUFFIN,each,Enabled,,,,,,
GNG - BROWNIE,each,Enabled,,,,,,
Juice - Classic Green (9),pack,Enabled,BTLD JUICE Classic Green (Bottle),304,Bottled Juice,Bottle (12 Oz-fl),Case - 9/Bottle (12 Oz-fl),PREP CATALOG ***11AM CUTOFF FOR NEXT DAY DELIVERY***
Juice - Clean Carbon (9),pack,Enabled,BTLD JUICE Clean Carbon (Bottle),303,Bottled Juice,Bottle (12 Oz-fl),Case - 9/Bottle (12 Oz-fl),PREP CATALOG ***11AM CUTOFF FOR NEXT DAY DELIVERY***
